student_id,dues,last_payment_date,payment_status
ST1204,10.75,2023-10-07,on-time
ST1205,302.93,2023-12-03,on-time
ST1206,92.63,2023-08-22,on-time
ST1207,199.0,2023-12-06,on-time
ST1208,161.13,2024-02-28,on-time
ST1209,592.83,2024-02-09,on-time
ST1210,724.27,2023-11-13,on-time
ST1211,505.78,2023-12-30,on-time
ST1212,259.09,2023-11-08,on-time
ST1213,48.58,2023-12-11,late
ST1214,1964.37,2023-09-28,on-time
ST1215,101.07,2023-09-12,on-time
ST1216,4.23,2024-01-24,on-time
ST1217,638.87,2023-12-06,on-time
ST1218,54.79,2024-02-12,on-time
ST1219,167.94,2024-02-06,on-time
ST1220,183.31,2023-12-22,on-time
ST1221,99.6,2023-12-25,late
ST1222,299.03,2023-12-19,on-time
ST1223,140.3,2023-10-18,on-time
ST1224,948.47,2023-11-26,on-time
ST1225,83.83,2024-02-29,on-time
ST1226,344.16,2024-02-28,on-time
ST1227,211.28,2023-12-11,on-time
ST1228,228.74,2023-08-17,on-time
ST1229,73.38,2023-12-16,on-time
ST1230,170.88,2023-11-09,on-time
ST1231,156.86,2024-01-19,on-time
ST1232,68.53,2023-12-09,on-time
ST1233,35.84,2023-10-30,on-time
ST1234,240.67,2023-08-28,on-time
ST1235,390.75,2023-10-19,on-time
ST1236,376.98,2024-01-27,on-time
ST1237,1084.48,2024-02-22,on-time
ST1238,64.99,2023-11-01,on-time
ST1239,18.55,2023-09-18,late
ST1240,447.04,2023-10-16,on-time
ST1241,128.73,2023-12-27,late
ST1242,282.83,2023-09-20,on-time
ST1243,30.84,2023-11-01,on-time
ST1244,1.58,2023-10-06,on-time
ST1245,323.82,2024-03-01,on-time
ST1246,436.7,2023-12-17,on-time
ST1247,36.68,2023-12-11,on-time
ST1248,692.06,2024-02-26,on-time
ST1249,88.05,2023-12-13,on-time
ST1250,678.94,2024-01-05,on-time
ST1251,22.52,2023-12-13,on-time
ST1252,35.82,2024-01-21,on-time
ST1253,110.81,2023-08-30,on-time
ST1254,342.95,2024-02-20,late
ST1255,112.75,2024-01-02,on-time
ST1256,325.29,2023-09-06,on-time
ST1257,263.05,2024-01-27,on-time
ST1258,184.39,2024-02-08,on-time
ST1259,167.62,2023-10-01,on-time
ST1260,174.21,2024-02-03,on-time
ST1261,275.6,2024-02-28,on-time
ST1262,293.81,2024-01-24,on-time
ST1263,13.4,2023-08-17,late
ST1264,44.96,2023-11-07,on-time
ST1265,7.59,2024-01-12,on-time
ST1266,245.49,2023-11-05,on-time
ST1267,219.65,2023-11-30,on-time
ST1268,148.28,2023-09-11,late
ST1269,777.57,2023-08-15,on-time
ST1270,160.62,2024-02-26,on-time
ST1271,76.11,2024-02-22,late
ST1272,101.06,2024-01-22,on-time
ST1273,148.64,2023-09-26,on-time
ST1274,644.84,2024-02-04,on-time
ST1275,789.52,2023-09-13,on-time
ST1276,235.94,2023-09-27,late
ST1277,36.14,2023-12-10,on-time
ST1278,8.68,2024-01-27,on-time
ST1279,110.17,2023-10-19,on-time
ST1280,455.99,2023-09-14,on-time
ST1281,577.67,2023-09-04,on-time
ST1282,219.25,2024-02-26,on-time
ST1283,50.3,2023-08-28,on-time
ST1284,207.93,2023-10-03,late
ST1285,75.79,2024-01-13,on-time
ST1286,30.54,2024-02-05,on-time
ST1287,35.9,2024-01-09,on-time
ST1288,74.48,2023-08-21,late
ST1289,158.25,2023-09-11,on-time
ST1290,166.5,2024-01-22,on-time
ST1291,105.04,2024-02-15,late
ST1292,222.61,2023-11-16,late
ST1293,588.23,2023-10-19,on-time
ST1294,148.06,2023-10-24,on-time
ST1295,26.16,2023-08-31,late
ST1296,71.1,2024-01-20,on-time
ST1297,351.38,2024-01-16,on-time
ST1298,301.9,2023-09-25,on-time
ST1299,11.53,2023-09-13,on-time
ST1300,5.43,2023-11-02,on-time
ST1301,215.64,2024-01-03,on-time
ST1302,415.69,2023-12-09,late
ST1303,355.35,2023-10-01,on-time
ST1304,975.24,2023-11-04,on-time
ST1305,134.67,2024-02-21,on-time
ST1306,217.82,2024-01-19,on-time
ST1307,497.74,2023-09-05,late
ST1308,389.58,2023-09-27,on-time
ST1309,231.19,2024-01-07,on-time
ST1310,108.77,2024-01-29,on-time
ST1311,41.85,2023-09-20,on-time
ST1312,547.68,2023-11-09,on-time
ST1313,0.12,2023-11-30,on-time
ST1314,0.97,2023-11-23,on-time
ST1315,199.24,2023-08-24,on-time
ST1316,142.71,2023-09-11,on-time
ST1317,66.42,2024-02-09,on-time
ST1318,35.43,2024-02-05,on-time
ST1319,11.6,2023-10-03,on-time
ST1320,125.0,2023-09-12,on-time
ST1321,120.41,2024-02-18,on-time
ST1322,199.71,2023-12-16,on-time
ST1323,14.25,2023-10-11,on-time
ST1324,140.89,2023-09-09,on-time
ST1325,24.48,2023-12-11,on-time
ST1326,54.7,2023-10-23,late
ST1327,510.14,2023-11-19,on-time
ST1328,523.28,2024-02-18,late
ST1329,46.68,2024-01-05,on-time
ST1330,363.85,2023-10-10,on-time
ST1331,557.82,2023-10-14,on-time
ST1332,16.68,2023-12-08,on-time
ST1333,277.14,2024-01-30,on-time
ST1334,142.7,2023-10-24,on-time
ST1335,378.51,2023-12-05,late
ST1336,257.85,2023-10-10,on-time
ST1337,63.6,2023-08-23,on-time
ST1338,28.21,2024-02-26,on-time
ST1339,275.2,2023-10-16,on-time
ST1340,334.17,2023-10-26,late
ST1341,90.67,2023-10-13,on-time
ST1342,71.04,2024-02-08,on-time
ST1343,119.63,2023-08-29,on-time
ST1344,136.05,2023-11-01,on-time
ST1345,166.38,2023-12-06,on-time
ST1346,155.97,2023-12-29,on-time
ST1347,183.45,2024-02-20,on-time
ST1348,276.37,2024-01-26,on-time
ST1349,375.74,2023-11-07,on-time
ST1350,280.29,2024-01-05,on-time
ST1351,157.34,2024-01-16,on-time
ST1352,214.95,2024-01-10,on-time
ST1353,289.82,2023-10-23,on-time
ST1354,80.78,2023-10-13,on-time
ST1355,360.96,2024-01-05,on-time
ST1356,331.23,2023-11-23,on-time
ST1357,40.05,2023-09-26,late
ST1358,59.2,2024-01-06,on-time
ST1359,125.6,2024-02-10,on-time
ST1360,210.68,2023-09-29,on-time
ST1361,459.06,2023-09-01,on-time
ST1362,158.92,2023-09-02,on-time
ST1363,66.31,2023-10-27,late
ST1364,23.14,2023-09-29,late
ST1365,91.93,2024-02-11,on-time
ST1366,81.61,2024-02-02,on-time
ST1367,179.58,2024-01-03,on-time
ST1368,21.56,2023-11-13,on-time
ST1369,268.33,2023-12-07,on-time
ST1370,252.45,2023-09-20,on-time
ST1371,604.6,2023-08-20,on-time
ST1372,27.03,2023-12-10,on-time
ST1373,555.31,2024-01-27,on-time
ST1374,44.8,2023-12-07,on-time
ST1375,484.76,2023-09-23,on-time
ST1376,225.22,2023-09-28,on-time
ST1377,88.22,2023-08-26,on-time
ST1378,93.96,2024-02-28,on-time
ST1379,105.94,2024-01-26,on-time
ST1380,21.36,2023-10-31,on-time
ST1381,108.87,2023-09-14,on-time
ST1382,151.3,2023-09-10,on-time
ST1383,315.16,2024-01-21,on-time
ST1384,450.8,2023-12-20,on-time
ST1385,161.43,2024-02-10,on-time
ST1386,503.47,2023-10-28,on-time
ST1387,21.21,2023-12-03,on-time
ST1388,37.3,2024-02-23,on-time
ST1389,66.23,2023-12-20,on-time
ST1390,65.95,2023-09-03,on-time
ST1391,228.52,2023-09-17,on-time
ST1392,723.23,2023-11-24,on-time
ST1393,91.68,2023-09-10,on-time
ST1394,440.68,2023-09-11,on-time
ST1395,116.35,2023-09-15,on-time
ST1396,171.45,2024-01-31,on-time
ST1397,205.37,2023-08-16,on-time
ST1398,596.04,2023-10-10,on-time
ST1399,37.42,2024-02-17,on-time
ST1400,46.92,2023-08-18,on-time
ST1401,51.67,2023-10-26,on-time
ST1402,46.77,2023-09-12,late
ST1403,201.66,2023-10-21,on-time
ST1404,72.05,2023-10-11,on-time
ST1405,202.75,2023-12-05,on-time
ST1406,369.94,2023-11-25,on-time
ST1407,35.44,2023-09-07,on-time
ST1408,158.08,2024-02-11,on-time
ST1409,688.18,2024-01-26,on-time
ST1410,79.72,2023-10-09,late
ST1411,151.91,2024-01-26,on-time
ST1412,325.07,2023-09-11,on-time
ST1413,263.57,2024-02-06,on-time
ST1414,634.12,2023-12-07,on-time
ST1415,418.15,2023-09-27,late
ST1416,84.32,2023-12-27,late
ST1417,342.53,2023-10-10,on-time
ST1418,2.11,2024-02-11,on-time
ST1419,111.75,2023-11-25,on-time
ST1420,478.32,2024-02-11,on-time
ST1421,152.22,2023-12-31,on-time
ST1422,21.24,2023-11-06,on-time
ST1423,118.05,2024-01-10,on-time
ST1424,136.62,2024-01-20,on-time
ST1425,37.13,2023-12-06,on-time
ST1426,14.28,2023-12-02,late
ST1427,273.24,2024-02-25,on-time
ST1428,132.85,2023-08-24,on-time
ST1429,6.88,2023-09-06,late
ST1430,510.68,2023-12-02,on-time
ST1431,15.71,2024-02-10,on-time
ST1432,85.39,2023-10-16,on-time
ST1433,48.85,2024-02-17,on-time
ST1434,225.54,2023-10-04,on-time
ST1435,45.36,2023-11-04,on-time
ST1436,110.04,2023-08-24,on-time
ST1437,485.91,2023-09-25,on-time
ST1438,30.82,2023-12-12,on-time
ST1439,362.33,2023-09-26,on-time
ST1440,65.77,2023-09-25,on-time
ST1441,304.0,2023-08-19,on-time
ST1442,197.08,2024-02-17,on-time
ST1443,358.67,2023-12-04,late
ST1444,686.44,2023-09-10,on-time
ST1445,14.19,2023-08-18,on-time
ST1446,34.55,2024-01-14,on-time
ST1447,141.08,2023-11-22,on-time
ST1448,348.8,2023-11-18,on-time
ST1449,346.71,2023-09-09,on-time
ST1450,98.24,2024-02-04,on-time
ST1451,319.75,2024-01-03,on-time
ST1452,29.66,2024-01-14,on-time
ST1453,47.9,2024-02-15,late
ST1454,94.93,2023-12-22,on-time
ST1455,183.39,2023-12-09,late
ST1456,84.37,2023-10-06,late
ST1457,101.21,2023-12-09,on-time
ST1458,61.9,2023-08-24,on-time
ST1459,379.97,2024-01-26,on-time
ST1460,129.36,2024-03-01,on-time
ST1461,410.15,2024-01-13,on-time
ST1462,18.59,2023-10-02,on-time
ST1463,65.3,2023-12-30,on-time
ST1464,94.88,2024-02-16,on-time
ST1465,156.03,2023-12-10,on-time
ST1466,111.79,2024-01-12,on-time
ST1467,239.34,2023-12-26,on-time
ST1468,382.72,2024-01-30,on-time
ST1469,417.89,2023-09-03,on-time
ST1470,387.79,2023-12-02,on-time
ST1471,324.57,2023-12-16,on-time
ST1472,325.57,2023-11-25,on-time
ST1473,57.18,2023-12-29,on-time
ST1474,54.91,2023-09-12,on-time
ST1475,179.76,2023-09-11,on-time
ST1476,66.47,2023-11-14,on-time
ST1477,176.54,2023-12-02,on-time
ST1478,188.6,2024-01-04,on-time
ST1479,140.31,2023-10-12,on-time
ST1480,411.08,2023-11-15,on-time
ST1481,449.93,2023-08-23,on-time
ST1482,64.46,2023-11-28,on-time
ST1483,36.06,2023-08-30,on-time
ST1484,17.35,2024-01-30,on-time
ST1485,292.5,2023-12-18,on-time
ST1486,63.64,2023-10-25,on-time
ST1487,52.67,2023-11-05,on-time
ST1488,25.98,2024-01-29,on-time
ST1489,142.88,2024-01-29,on-time
ST1490,78.71,2023-11-20,late
ST1491,520.64,2023-11-01,on-time
ST1492,610.65,2024-02-27,on-time
ST1493,23.99,2023-10-30,on-time
ST1494,378.24,2023-09-10,on-time
ST1495,79.72,2023-08-21,on-time
ST1496,29.49,2023-08-21,on-time
ST1497,23.97,2024-02-16,on-time
ST1498,58.38,2023-10-08,on-time
ST1499,372.05,2024-02-18,on-time
